"Refid","Author","Title","User","Level","algorithm_domain1","assessor_domain1","algorithm_domain2a","algorithm_domain2b","algorithm_domain2c","assessor_domain2","algorithm_domain3","assessor_domain3","algorithm_domain4","assessor_domain4","algorithm_domain5","assessor_domain5","algorithm_overall","assessor_overall"
1288,"Du, X., Song, F., Zhang, X., Ma, S.","Protective efficacy of combined use of parecoxib and dexmedetomidine on postoperative hyperalgesia and early cognitive dysfunction after laparoscopic cholecystectomy for elderly patients",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
1320,"Tzimas, P., Samara, E., Petrou, A., Korompilias, A., Chalkias, A., Papadopoulos, G.","The influence of anesthetic techniques on postoperative cognitive function in elderly patients undergoing hip fracture surgery: General vs spinal anesthesia",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
1320,"Tzimas, P., Samara, E., Petrou, A., Korompilias, A., Chalkias, A., Papadopoulos, G.","The influence of anesthetic techniques on postoperative cognitive function in elderly patients undergoing hip fracture surgery: General vs spinal anesthesia",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
1335,"Parker, M. J., Griffiths, R.","General versus regional anaesthesia for hip fractures. A pilot randomised controlled trial of 322 patients",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns","Some concerns",Low,"Some concerns","Some concerns"
1335,"Parker, M. J., Griffiths, R.","General versus regional anaesthesia for hip fractures. A pilot randomised controlled trial of 322 patients",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns",Low,Low,"Some concerns","Some concerns"
1400,"Papaioannou, A., Fraidakis, O., Michaloudis, D., Balalis, C., Askitopoulou, H.","The impact of the type of anaesthesia on cognitive status and delirium during the first postoperative days in elderly patients",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
1400,"Papaioannou, A., Fraidakis, O., Michaloudis, D., Balalis, C., Askitopoulou, H.","The impact of the type of anaesthesia on cognitive status and delirium during the first postoperative days in elderly patients",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
1419,"Liu, Y., Ma, L., Gao, M., Guo, W., Ma, Y.","Dexmedetomidine reduces postoperative delirium after joint replacement in elderly patients with mild cognitive impairment",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
1419,"Liu, Y., Ma, L., Gao, M., Guo, W., Ma, Y.","Dexmedetomidine reduces postoperative delirium after joint replacement in elderly patients with mild cognitive impairment",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
1489,"Zhang, X., Dong, Q., Fang, J.","Impacts of General and Spinal Anaesthesia on Short-Term Cognitive Function and Mental Status in Elderly Patients Undergoing Orthopaedic Surgery",Madhulika_Agarkar,4,"Some concerns","Some concerns",Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns"
1489,"Zhang, X., Dong, Q., Fang, J.","Impacts of General and Spinal Anaesthesia on Short-Term Cognitive Function and Mental Status in Elderly Patients Undergoing Orthopaedic Surgery",Anne_Marbella,4,"Some concerns","Some concerns",Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns"
1505,"Hongyu, X., Qingting, W., Xiaoling, S., Liwu, Z., Ailing, Y., Xin, L.","Penehyclidine hydrochloride on postoperatively cognitive function",Madhulika_Agarkar,4,"Some concerns","Some concerns",Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns"
1505,"Hongyu, X., Qingting, W., Xiaoling, S., Liwu, Z., Ailing, Y., Xin, L.","Penehyclidine hydrochloride on postoperatively cognitive function",Anne_Marbella,4,"Some concerns","Some concerns",Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns"
1625,"Wang, L., Zhang, T., Huang, L., Peng, W.","Comparison between Dexmedetomidine and Midazolam for Sedation in Patients with Intubation after Oral and Maxillofacial Surgery",Madhulika_Agarkar,4,"Some concerns","Some concerns",Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns","Some concerns","Some concerns"
1625,"Wang, L., Zhang, T., Huang, L., Peng, W.","Comparison between Dexmedetomidine and Midazolam for Sedation in Patients with Intubation after Oral and Maxillofacial Surgery",Stephanie_Ramirez,4,"Some concerns","Some concerns",Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns","Some concerns","Some concerns"
1735,"Mei, B., Meng, G., Xu, G., Cheng, X., Chen, S., Zhang, Y., Zhang, M., Liu, X., Gu, E.","Intraoperative Sedation With Dexmedetomidine is Superior to Propofol for Elderly Patients Undergoing Hip Arthroplasty: A Prospective Randomized Controlled Study",Lexi_Dyer,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
1735,"Mei, B., Meng, G., Xu, G., Cheng, X., Chen, S., Zhang, Y., Zhang, M., Liu, X., Gu, E.","Intraoperative Sedation With Dexmedetomidine is Superior to Propofol for Elderly Patients Undergoing Hip Arthroplasty: A Prospective Randomized Controlled Study",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
1819,"Gao, Y., Zhu, X., Huang, L., Teng, J., Li, F.","Effects of dexmedetomidine on cerebral oxygen saturation and postoperative cognitive function in elderly patients undergoing minimally invasive coronary artery bypass surgery",Anne_Marbella,4,"Some concerns","Some concerns",Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns"
1819,"Gao, Y., Zhu, X., Huang, L., Teng, J., Li, F.","Effects of dexmedetomidine on cerebral oxygen saturation and postoperative cognitive function in elderly patients undergoing minimally invasive coronary artery bypass surgery",Lexi_Dyer,4,"Some concerns","Some concerns",Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns"
1847,"Hudetz, J. A., Patterson, K. M., Iqbal, Z., Gandhi, S. D., Byrne, A. J., Hudetz, A. G., Warltier, D. C., Pagel, P. S.","Ketamine attenuates delirium after cardiac surgery with cardiopulmonary bypass",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
1847,"Hudetz, J. A., Patterson, K. M., Iqbal, Z., Gandhi, S. D., Byrne, A. J., Hudetz, A. G., Warltier, D. C., Pagel, P. S.","Ketamine attenuates delirium after cardiac surgery with cardiopulmonary bypass",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
1919,"Xin, X., Chen, J., Hua, W., Wang, H.","Intraoperative dexmedetomidine for prevention of postoperative delirium in elderly patients with mild cognitive impairment",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
1919,"Xin, X., Chen, J., Hua, W., Wang, H.","Intraoperative dexmedetomidine for prevention of postoperative delirium in elderly patients with mild cognitive impairment",Lexi_Dyer,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
1937,"Hollinger, A., Rüst, C. A., Riegger, H., Gysi, B., Tran, F., Brügger, J., Huber, J., Toft, K., Surbeck, M., Schmid, H. R., Rentsch, K., Steiner, L., Siegemund, M.","Ketamine vs. haloperidol for prevention of cognitive dysfunction and postoperative delirium: A phase IV multicentre randomised placebo-controlled double-blind clinical trial",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
1937,"Hollinger, A., Rüst, C. A., Riegger, H., Gysi, B., Tran, F., Brügger, J., Huber, J., Toft, K., Surbeck, M., Schmid, H. R., Rentsch, K., Steiner, L., Siegemund, M.","Ketamine vs. haloperidol for prevention of cognitive dysfunction and postoperative delirium: A phase IV multicentre randomised placebo-controlled double-blind clinical trial",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2020,"Wang, Q., Lin, F., Huang, B., Pan, L. H.","The Effectiveness and Safety of General and Spinal Anesthesia on Systemic Inflammatory Response in Patients with Tumor-Type Total Knee Arthroplasty",Madhulika_Agarkar,4,"Some concerns","Some concerns",Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns"
2020,"Wang, Q., Lin, F., Huang, B., Pan, L. H.","The Effectiveness and Safety of General and Spinal Anesthesia on Systemic Inflammatory Response in Patients with Tumor-Type Total Knee Arthroplasty",Anne_Marbella,4,"Some concerns","Some concerns",Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns"
2022,"Deiner, S., Luo, X., Lin, H. M., Sessler, D. I., Saager, L., Sieber, F. E., Lee, H. B., Sano, M., Jankowski, C., Bergese, S. D., Candiotti, K., Flaherty, J. H., Arora, H., Shander, A., Rock, P.","Intraoperative Infusion of Dexmedetomidine for Prevention of Postoperative Delirium and Cognitive Dysfunction in Elderly Patients Undergoing Major Elective Noncardiac Surgery: A Randomized Clinical Trial",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2022,"Deiner, S., Luo, X., Lin, H. M., Sessler, D. I., Saager, L., Sieber, F. E., Lee, H. B., Sano, M., Jankowski, C., Bergese, S. D., Candiotti, K., Flaherty, J. H., Arora, H., Shander, A., Rock, P.","Intraoperative Infusion of Dexmedetomidine for Prevention of Postoperative Delirium and Cognitive Dysfunction in Elderly Patients Undergoing Major Elective Noncardiac Surgery: A Randomized Clinical Trial",Lexi_Dyer,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2173,"Momeni, M., Khalifa, C., Lemaire, G., Watremez, C., Tircoveanu, R., Van Dyck, M., Kahn, D., Rosal Martins, M., Mastrobuoni, S., De Kerchove, L., Zango, S. H., Jacquet, L. M.","Propofol plus low-dose dexmedetomidine infusion and postoperative delirium in older patients undergoing cardiac surgery",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,High,High,Low,Low,Low,Low,High,High
2173,"Momeni, M., Khalifa, C., Lemaire, G., Watremez, C., Tircoveanu, R., Van Dyck, M., Kahn, D., Rosal Martins, M., Mastrobuoni, S., De Kerchove, L., Zango, S. H., Jacquet, L. M.","Propofol plus low-dose dexmedetomidine infusion and postoperative delirium in older patients undergoing cardiac surgery",Lexi_Dyer,4,Low,Low,Low,Low,Low,Low,High,High,Low,Low,Low,Low,High,High
2217,"Rascón-Martínez, D. M., Fresán-Orellana, A., Ocharán-Hernández, M. E., Genis-Zarate, J. H., Castellanos-Olivares, A.","The Effects of Ketamine on Cognitive Function in Elderly Patients Undergoing Ophthalmic Surgery: A Pilot Study",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,High,High,Low,Low,Low,Low,High,High
2217,"Rascón-Martínez, D. M., Fresán-Orellana, A., Ocharán-Hernández, M. E., Genis-Zarate, J. H., Castellanos-Olivares, A.","The Effects of Ketamine on Cognitive Function in Elderly Patients Undergoing Ophthalmic Surgery: A Pilot Study",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,High,High,Low,Low,Low,Low,High,High
2252,"Edipoglu, I. S., Celik, F.","The Associations Between Cognitive Dysfunction, Stress Biomarkers, and Administered Anesthesia Type in Total Knee Arthroplasties: Prospective, Randomized Trial",Madhulika_Agarkar,4,Low,Low,Low,High,High,High,Low,Low,Low,Low,Low,Low,High,High
2252,"Edipoglu, I. S., Celik, F.","The Associations Between Cognitive Dysfunction, Stress Biomarkers, and Administered Anesthesia Type in Total Knee Arthroplasties: Prospective, Randomized Trial",Anne_Marbella,4,Low,Low,Low,High,High,High,Low,Low,Low,Low,Low,Low,High,High
2288,"Djaiani, G., Silverton, N., Fedorko, L., Carroll, J., Styra, R., Rao, V., Katznelson, R.","Dexmedetomidine versus Propofol Sedation Reduces Delirium after Cardiac Surgery: A Randomized Controlled Trial",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2288,"Djaiani, G., Silverton, N., Fedorko, L., Carroll, J., Styra, R., Rao, V., Katznelson, R.","Dexmedetomidine versus Propofol Sedation Reduces Delirium after Cardiac Surgery: A Randomized Controlled Trial",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2578,"Lee, K. H., Kim, J. Y., Kim, J. W., Park, J. S., Lee, K. W., Jeon, S. Y.","Influence of Ketamine on Early Postoperative Cognitive Function After Orthopedic Surgery in Elderly Patients",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2578,"Lee, K. H., Kim, J. Y., Kim, J. W., Park, J. S., Lee, K. W., Jeon, S. Y.","Influence of Ketamine on Early Postoperative Cognitive Function After Orthopedic Surgery in Elderly Patients",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2624,"Subramaniam, B., Shankar, P., Shaefi, S., Mueller, A., O'Gara, B., Banner-Goodspeed, V., Gallagher, J., Gasangwa, D., Patxot, M., Packiasabapathy, S., Mathur, P., Eikermann, M., Talmor, D., Marcantonio, E. R.","Effect of Intravenous Acetaminophen vs Placebo Combined With Propofol or Dexmedetomidine on Postoperative Delirium Among Older Patients Following Cardiac Surgery: The DEXACET Randomized Clinical Trial",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2624,"Subramaniam, B., Shankar, P., Shaefi, S., Mueller, A., O'Gara, B., Banner-Goodspeed, V., Gallagher, J., Gasangwa, D., Patxot, M., Packiasabapathy, S., Mathur, P., Eikermann, M., Talmor, D., Marcantonio, E. R.","Effect of Intravenous Acetaminophen vs Placebo Combined With Propofol or Dexmedetomidine on Postoperative Delirium Among Older Patients Following Cardiac Surgery: The DEXACET Randomized Clinical Trial",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2730,"Leung, J. M., Sands, L. P., Chen, N., Ames, C., Berven, S., Bozic, K., Burch, S., Chou, D., Covinsky, K., Deviren, V., Kinjo, S., Kramer, J. H., Ries, M., Tay, B., Vail, T., Weinstein, P., Chang, S., Meckler, G., Newman, S., Tsai, T., Voss, V., Youngblom, E.","Perioperative Gabapentin Does Not Reduce Postoperative Delirium in Older Surgical Patients: A Randomized Clinical Trial",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2730,"Leung, J. M., Sands, L. P., Chen, N., Ames, C., Berven, S., Bozic, K., Burch, S., Chou, D., Covinsky, K., Deviren, V., Kinjo, S., Kramer, J. H., Ries, M., Tay, B., Vail, T., Weinstein, P., Chang, S., Meckler, G., Newman, S., Tsai, T., Voss, V., Youngblom, E.","Perioperative Gabapentin Does Not Reduce Postoperative Delirium in Older Surgical Patients: A Randomized Clinical Trial",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2748,"Lee, C., Lee, J., Lee, G., Lee, H., Koh, E., Hwang, J.","Pregabalin and Dexmedetomidine Combined for Pain After Total Knee Arthroplasty or Total Hip Arthroplasty Performed Under Spinal Anesthesia",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2748,"Lee, C., Lee, J., Lee, G., Lee, H., Koh, E., Hwang, J.","Pregabalin and Dexmedetomidine Combined for Pain After Total Knee Arthroplasty or Total Hip Arthroplasty Performed Under Spinal Anesthesia",Lexi_Dyer,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2778,"Glumac, S., Kardum, G., Sodic, L., Supe-Domic, D., Karanovic, N.","Effects of dexamethasone on early cognitive decline after cardiac surgery: A randomised controlled trial",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2778,"Glumac, S., Kardum, G., Sodic, L., Supe-Domic, D., Karanovic, N.","Effects of dexamethasone on early cognitive decline after cardiac surgery: A randomised controlled trial",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2794,"Rohan, D., Buggy, D. J., Crowley, S., Ling, F. K., Gallagher, H., Regan, C., Moriarty, D. C.","Increased incidence of postoperative cognitive dysfunction 24 hr after minor surgery in the elderly",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2794,"Rohan, D., Buggy, D. J., Crowley, S., Ling, F. K., Gallagher, H., Regan, C., Moriarty, D. C.","Increased incidence of postoperative cognitive dysfunction 24 hr after minor surgery in the elderly",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2866,"Avidan, M. S., Maybrier, H. R., Abdallah, A. B., Jacobsohn, E., Vlisides, P. E., Pryor, K. O., Veselis, R. A., Grocott, H. P., Emmert, D. A., Rogers, E. M., Downey, R. J., Yulico, H., Noh, G. J., Lee, Y. H., Waszynski, C. M., Arya, V. K., Pagel, P. S., Hudetz, J. A., Muench, M. R., Fritz, B. A., Waberski, W., Inouye, S. K., Mashour, G. A.","Intraoperative ketamine for prevention of postoperative delirium or pain after major surgery in older adults: an international, multicentre, double-blind, randomised clinical trial",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2866,"Avidan, M. S., Maybrier, H. R., Abdallah, A. B., Jacobsohn, E., Vlisides, P. E., Pryor, K. O., Veselis, R. A., Grocott, H. P., Emmert, D. A., Rogers, E. M., Downey, R. J., Yulico, H., Noh, G. J., Lee, Y. H., Waszynski, C. M., Arya, V. K., Pagel, P. S., Hudetz, J. A., Muench, M. R., Fritz, B. A., Waberski, W., Inouye, S. K., Mashour, G. A.","Intraoperative ketamine for prevention of postoperative delirium or pain after major surgery in older adults: an international, multicentre, double-blind, randomised clinical trial",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
3046,"Hu, J., Zhu, M., Gao, Z., Zhao, S., Feng, X., Chen, J., Zhang, Y., Maze, M.","Dexmedetomidine for prevention of postoperative delirium in older adults undergoing oesophagectomy with total intravenous anaesthesia: A double-blind, randomised clinical trial",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,High
3046,"Hu, J., Zhu, M., Gao, Z., Zhao, S., Feng, X., Chen, J., Zhang, Y., Maze, M.","Dexmedetomidine for prevention of postoperative delirium in older adults undergoing oesophagectomy with total intravenous anaesthesia: A double-blind, randomised clinical trial",Lexi_Dyer,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,High
3130,"Lu, J., Chen, G., Zhou, H., Zhou, Q., Zhu, Z., Wu, C.","Effect of parecoxib sodium pretreatment combined with dexmedetomidine on early postoperative cognitive dysfunction in elderly patients after shoulder arthroscopy: A randomized double blinded controlled trial",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
3130,"Lu, J., Chen, G., Zhou, H., Zhou, Q., Zhu, Z., Wu, C.","Effect of parecoxib sodium pretreatment combined with dexmedetomidine on early postoperative cognitive dysfunction in elderly patients after shoulder arthroscopy: A randomized double blinded controlled trial",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
3218,"Alas, A., Martin, L., Devakumar, H., Frank, L., Vaish, S., Chandrasekaran, N., Davila, G. W., Hurtado, E.","Anesthetics' role in postoperative urinary retention after pelvic organ prolapse surgery with concomitant midurethral slings: a randomized clinical trial",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
3218,"Alas, A., Martin, L., Devakumar, H., Frank, L., Vaish, S., Chandrasekaran, N., Davila, G. W., Hurtado, E.","Anesthetics' role in postoperative urinary retention after pelvic organ prolapse surgery with concomitant midurethral slings: a randomized clinical trial",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
3250,"Royse, C. F., Saager, L., Whitlock, R., Ou-Young, J., Royse, A., Vincent, J., Devereaux, P. J., Kurz, A., Awais, A., Panjasawatwong, K., Sessler, D. I.","Impact of Methylprednisolone on Postoperative Quality of Recovery and Delirium in the Steroids in Cardiac Surgery Trial: A Randomized, Double-blind, Placebo-controlled Substudy",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
3250,"Royse, C. F., Saager, L., Whitlock, R., Ou-Young, J., Royse, A., Vincent, J., Devereaux, P. J., Kurz, A., Awais, A., Panjasawatwong, K., Sessler, D. I.","Impact of Methylprednisolone on Postoperative Quality of Recovery and Delirium in the Steroids in Cardiac Surgery Trial: A Randomized, Double-blind, Placebo-controlled Substudy",Lexi_Dyer,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
3391,"Shi, H., Du, X., Wu, F., Hu, Y., Xv, Z., Mi, W.","Dexmedetomidine improves early postoperative neurocognitive disorder in elderly male patients undergoing thoracoscopic lobectomy",Lexi_Dyer,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
3391,"Shi, H., Du, X., Wu, F., Hu, Y., Xv, Z., Mi, W.","Dexmedetomidine improves early postoperative neurocognitive disorder in elderly male patients undergoing thoracoscopic lobectomy",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
3716,"Zhao, W., Hu, Y., Chen, H., Wang, X., Wang, L., Wang, Y., Wu, X., Han, F.","The Effect and Optimal Dosage of Dexmedetomidine Plus Sufentanil for Postoperative Analgesia in Elderly Patients With Postoperative Delirium and Early Postoperative Cognitive Dysfunction: A Single-Center, Prospective, Randomized, Double-Blind, Controlled Trial",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
3716,"Zhao, W., Hu, Y., Chen, H., Wang, X., Wang, L., Wang, Y., Wu, X., Han, F.","The Effect and Optimal Dosage of Dexmedetomidine Plus Sufentanil for Postoperative Analgesia in Elderly Patients With Postoperative Delirium and Early Postoperative Cognitive Dysfunction: A Single-Center, Prospective, Randomized, Double-Blind, Controlled Trial",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
3788,"Remérand, F., Le Tendre, C., Baud, A., Couvret, C., Pourrat, X., Favard, L., Laffon, M., Fusciardi, J.","The early and delayed analgesic effects of ketamine after total hip arthroplasty: a prospective, randomized, controlled, double-blind study",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
3788,"Remérand, F., Le Tendre, C., Baud, A., Couvret, C., Pourrat, X., Favard, L., Laffon, M., Fusciardi, J.","The early and delayed analgesic effects of ketamine after total hip arthroplasty: a prospective, randomized, controlled, double-blind study",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
3841,"Oh, E. S., Leoutsakos, J. M., Rosenberg, P. B., Pletnikova, A. M., Khanuja, H. S., Sterling, R. S., Oni, J. K., Sieber, F. E., Fedarko, N. S., Akhlaghi, N., Neufeld, K. J.","Effects of Ramelteon on the Prevention of Postoperative Delirium in Older Patients Undergoing Orthopedic Surgery: The RECOVER Randomized Controlled Trial",Madhulika_Agarkar,4,Low,Low,Low,High,High,High,Low,Low,Low,Low,Low,Low,High,High
3841,"Oh, E. S., Leoutsakos, J. M., Rosenberg, P. B., Pletnikova, A. M., Khanuja, H. S., Sterling, R. S., Oni, J. K., Sieber, F. E., Fedarko, N. S., Akhlaghi, N., Neufeld, K. J.","Effects of Ramelteon on the Prevention of Postoperative Delirium in Older Patients Undergoing Orthopedic Surgery: The RECOVER Randomized Controlled Trial",Stephanie_Ramirez,4,Low,Low,Low,High,High,High,Low,Low,Low,Low,Low,Low,High,High
4033,"Qiao, Y., Feng, H., Zhao, T., Yan, H., Zhang, H., Zhao, X.","Postoperative cognitive dysfunction after inhalational anesthesia in elderly patients undergoing major surgery: the influence of anesthetic technique, cerebral injury and systemic inflammation",Madhulika_Agarkar,4,"Some concerns","Some concerns",Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns"
4033,"Qiao, Y., Feng, H., Zhao, T., Yan, H., Zhang, H., Zhao, X.","Postoperative cognitive dysfunction after inhalational anesthesia in elderly patients undergoing major surgery: the influence of anesthetic technique, cerebral injury and systemic inflammation",Stephanie_Ramirez,4,"Some concerns","Some concerns",Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns"
4150,"Jaiswal, S. J., Vyas, A. D., Heisel, A. J., Ackula, H., Aggarwal, A., Kim, N. H., Kerr, K. M., Madani, M., Pretorius, V., Auger, W. R., Fernandes, T. M., Malhotra, A., Owens, R. L.","Ramelteon for Prevention of Postoperative Delirium: A Randomized Controlled Trial in Patients Undergoing Elective Pulmonary Thromboendarterectomy",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
4150,"Jaiswal, S. J., Vyas, A. D., Heisel, A. J., Ackula, H., Aggarwal, A., Kim, N. H., Kerr, K. M., Madani, M., Pretorius, V., Auger, W. R., Fernandes, T. M., Malhotra, A., Owens, R. L.","Ramelteon for Prevention of Postoperative Delirium: A Randomized Controlled Trial in Patients Undergoing Elective Pulmonary Thromboendarterectomy",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
4782,"Liang, C., Wei, J., Cai, X., Lin, W., Fan, Y., Yang, F.","Efficacy and Safety of 3 Different Anesthesia Techniques Used in Total Hip Arthroplasty",Madhulika_Agarkar,4,"Some concerns","Some concerns",Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns"
4782,"Liang, C., Wei, J., Cai, X., Lin, W., Fan, Y., Yang, F.","Efficacy and Safety of 3 Different Anesthesia Techniques Used in Total Hip Arthroplasty",Anne_Marbella,4,"Some concerns","Some concerns",Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns"
4798,"Ding, L., Zhang, H., Mi, W., Wang, T., He, Y., Zhang, X., Ma, X., Li, H.","Effects of dexmedetomidine on anesthesia recovery period and postoperative cognitive function of patients after robot-assisted laparoscopic radical cystectomy",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
4798,"Ding, L., Zhang, H., Mi, W., Wang, T., He, Y., Zhang, X., Ma, X., Li, H.","Effects of dexmedetomidine on anesthesia recovery period and postoperative cognitive function of patients after robot-assisted laparoscopic radical cystectomy",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
4824,"Hakim, S. M., Othman, A. I., Naoum, D. O.","Early treatment with risperidone for subsyndromal delirium after on-pump cardiac surgery in the elderly: a randomized trial",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
4824,"Hakim, S. M., Othman, A. I., Naoum, D. O.","Early treatment with risperidone for subsyndromal delirium after on-pump cardiac surgery in the elderly: a randomized trial",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
