refid,design_f_lab,study,study_l,study_l_w_linked,study_id,arm_id,drug,drug_f,drug_recode,drug_recode_abbr,drug_study,arm_n,arm_proph_meds,none,proph_history,proph_med_pre,proph_med_induct,proph_med_intra,proph_med_postop,proph_med_unspec,dexmed,dexmed_loading,dexmed_maintain,dexmed_maintain_low,dexmed_maintain_up,dexmed_postdose,ketamine,ketamine_dose,ketamine_dose_iv,ket_postdose,melatonin,melatonin_dose,melatonin_days,ramelteon,ramelteon_dose,ramelteon_numberdoses,gabapentin,gabapentin_dose,gabapentin_numberdoses,ulinastatin,ulinastatin_dose,ulinastatin_numberdoses,notes,multiple_kq,drug_kq5,control_desc_kq5,other_spec,interv_desc,control_desc
2578,Randomized Clinical Trial,Lee 2015,[Lee 2015](evidence_tables.html#2578),[Lee 2015](evidence_tables.html#2578),Lee 2015-2,2,Ketamine,Ketamine,Ketamine,Ket,Ketamine,25,kq6_proph_meds,,,,proph_med_induct,,,,,,,,,,ketamine,0.5,,,,,,,,,,,,,,,,,,,,"single dose of intravenous bolus, a total of 3 mL mixed with 0.9% normal saline and 0.5 mg/kg ketamine",
2598,Randomized Clinical Trial,Wang 2017,[Wang 2017](evidence_tables.html#2598),[Wang 2017](evidence_tables.html#2598),Wang 2017-1,1,Placebo,Control,Placebo,Plac,Ulinastatin,37,kq6_no_proph_meds,kq6_placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 mL normal saline and infused intravenously over a period of 20 min before induction. 100 ml daily after surgery on postop days 1 to 3.
2598,Randomized Clinical Trial,Wang 2017,[Wang 2017](evidence_tables.html#2598),[Wang 2017](evidence_tables.html#2598),Wang 2017-2,2,Ulinastatin,Ulinastatin,Ulinastatin,Ulin,Ulinastatin,38,kq6_proph_meds,,,proph_med_pre,,,proph_med_postop,,,,,,,,,,,,,,,,,,,,,ulinastatin,10000,1,,,,,,"10,000 U/kg ulinastatin diluted to 100 mL with normal saline and infused intravenously over a period of 20 min. This was followed by 5000 U/kg ulinastatin daily after surgery on days 1 to 3.",
2624,Randomized Clinical Trial,Subramaniam 2019,[Subramaniam 2019](evidence_tables.html#2624),[Subramaniam 2019](evidence_tables.html#2624),Subramaniam 2019-1,1,Other,Control,Propofol,Prop,Dexmedetomidine,61,kq6_no_proph_meds,kq6_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All preoperative and intraoperative management will be at the discretion of the treating provider and will adhere to the current institutional standard of care for cardiac surgery.,,,,propofol,,20-100 ug/kg/minute postoperatively for sedation
2624,Randomized Clinical Trial,Subramaniam 2019,[Subramaniam 2019](evidence_tables.html#2624),[Subramaniam 2019](evidence_tables.html#2624),Subramaniam 2019-2,2,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,59,kq6_proph_meds,,,,,,proph_med_postop,,dexmedetomidine,0.5,,0.1,0.4,,,,,,,,,,,,,,,,,,dex group did not receive any propofol during general anesthesia or sedation.,,,,,"IV dexmedetomidine bolus dose of 0.5-1ug/kg during chest closure, followed by a maintenance infusion of 0.1-0.4 ug/kg/hr",
2730,Randomized Clinical Trial,Leung 2017,[Leung 2017](evidence_tables.html#2730),[Leung 2017](evidence_tables.html#2730),Leung 2017-1,1,,,,,Dexmedetomidine,347,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730,Randomized Clinical Trial,Leung 2017,[Leung 2017](evidence_tables.html#2730),[Leung 2017](evidence_tables.html#2730),Leung 2017-2,2,,,,,Dexmedetomidine,350,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736,Before-After/Time Series,Ernst 2014,[Ernst 2014](evidence_tables.html#2736),[Ernst 2014](evidence_tables.html#2736),Ernst 2014-1,1,,,,,Dexmedetomidine,160,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736,Before-After/Time Series,Ernst 2014,[Ernst 2014](evidence_tables.html#2736),[Ernst 2014](evidence_tables.html#2736),Ernst 2014-2,2,,,,,Dexmedetomidine,150,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2748,Randomized Clinical Trial,Lee 2018b,[Lee 2018b](evidence_tables.html#2748),[Lee 2018b](evidence_tables.html#2748),Lee 2018b-1,1,Placebo,Control,Placebo,Plac,Dexmedetomidine,31,kq6_no_proph_meds,kq6_placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Placebo pregabalin orally 1 hr preop and placebo dexmedetomidine IV during induction and surgery
2748,Randomized Clinical Trial,Lee 2018b,[Lee 2018b](evidence_tables.html#2748),[Lee 2018b](evidence_tables.html#2748),Lee 2018b-2,2,Other,Control,Pregabalin,Preg,Dexmedetomidine,33,kq6_no_proph_meds,kq6_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pregabalin,,150 mg pregabalin orally 1 hr preop and placebo dexmedetomidine IV during induction and surgery
2748,Randomized Clinical Trial,Lee 2018b,[Lee 2018b](evidence_tables.html#2748),[Lee 2018b](evidence_tables.html#2748),Lee 2018b-3,3,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,31,kq6_proph_meds,,,,proph_med_induct,proph_med_intra,,,dexmedetomidine,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,placebo pregabalin orally 1 hr preop and 0.5 mg/kg at induction and 0.5 mg/kg/h during surgery dexmedetomidine IV,
2748,Randomized Clinical Trial,Lee 2018b,[Lee 2018b](evidence_tables.html#2748),[Lee 2018b](evidence_tables.html#2748),Lee 2018b-4,4,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine/Pregabalin,Dex/Preg,Dexmedetomidine,29,kq6_proph_meds,,,,proph_med_induct,proph_med_intra,,,dexmedetomidine,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,pregabalin,150 mg pregabalin orally 1 hr preop and 0.5 mg/kg at induction and 0.5 mg/kg/h during surgery dexmedetomidine IV,
2778,Randomized Clinical Trial,Glumac 2017,[Glumac 2017](evidence_tables.html#2778),[Glumac 2017](evidence_tables.html#2778),Glumac 2017-1,1,,,,,Dexmedetomidine,81,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778,Randomized Clinical Trial,Glumac 2017,[Glumac 2017](evidence_tables.html#2778),[Glumac 2017](evidence_tables.html#2778),Glumac 2017-2,2,,,,,Dexmedetomidine,80,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794,Randomized Clinical Trial,Rohan 2005,[Rohan 2005](evidence_tables.html#2794),[Rohan 2005](evidence_tables.html#2794),Rohan 2005-1,1,,,,,Dexmedetomidine,15,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794,Randomized Clinical Trial,Rohan 2005,[Rohan 2005](evidence_tables.html#2794),[Rohan 2005](evidence_tables.html#2794),Rohan 2005-2,2,,,,,Dexmedetomidine,15,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2866,Randomized Clinical Trial,Avidan 2017,[Avidan 2017](evidence_tables.html#2866),[Avidan 2017](evidence_tables.html#2866),Avidan 2017-1,1,Placebo,Control,Placebo,Plac,Ketamine,222,kq6_no_proph_meds,kq6_placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intravenous normal saline administered following induction of anesthesia but prior to surgical incision
2866,Randomized Clinical Trial,Avidan 2017,[Avidan 2017](evidence_tables.html#2866),[Avidan 2017](evidence_tables.html#2866),Avidan 2017-2,2,Ketamine,Ketamine,Ketamine,Ket,Ketamine,227,kq6_proph_meds,,,,,proph_med_intra,,,,,,,,,ketamine,0.5,,,,,,,,,,,,,,,,,,,,intravenous; administered following induction of anesthesia but prior to surgical incision,
2866,Randomized Clinical Trial,Avidan 2017,[Avidan 2017](evidence_tables.html#2866),[Avidan 2017](evidence_tables.html#2866),Avidan 2017-3,3,Ketamine,Ketamine,Ketamine,Ket,Ketamine,223,kq6_proph_meds,,,,,,,,,,,,,,ketamine,1,,,,,,,,,,,,,,,,,,,,intravenous; administered following induction of anesthesia but prior to surgical incision,
2985,Prospective Cohort,Pipanmekaporn 2021,[Pipanmekaporn 2021](evidence_tables.html#2985),[Pipanmekaporn 2021](evidence_tables.html#2985),Pipanmekaporn 2021-1,1,,,,,Ketamine,173,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2985,Prospective Cohort,Pipanmekaporn 2021,[Pipanmekaporn 2021](evidence_tables.html#2985),[Pipanmekaporn 2021](evidence_tables.html#2985),Pipanmekaporn 2021-2,2,,,,,Ketamine,256,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2997,Before-After/Time Series,Miyata 2017,[Miyata 2017](evidence_tables.html#2997),[Miyata 2017](evidence_tables.html#2997),Miyata 2017-1,1,None,Control,None,None,Ramelteon,58,kq6_no_proph_meds,kq6_none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2997,Before-After/Time Series,Miyata 2017,[Miyata 2017](evidence_tables.html#2997),[Miyata 2017](evidence_tables.html#2997),Miyata 2017-2,2,Ramelteon,Ramelteon,Ramelteon,Ram,Ramelteon,24,kq6_proph_meds,,,,,,proph_med_postop,,,,,,,,,,,,,,,ramelteon,8,7,,,,,,,,,,,,,
3046,Randomized Clinical Trial,Hu 2021,[Hu 2021](evidence_tables.html#3046),[Hu 2021](evidence_tables.html#3046),Hu 2021-1,1,Placebo,Control,Placebo,Plac,Dexmedetomidine,87,kq6_no_proph_meds,kq6_placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9% saline IV during induction and throughout surgery
3046,Randomized Clinical Trial,Hu 2021,[Hu 2021](evidence_tables.html#3046),[Hu 2021](evidence_tables.html#3046),Hu 2021-2,2,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,90,kq6_proph_meds,,,,proph_med_induct,proph_med_intra,,,dexmedetomidine,0.4,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.4 mg/kg loading dose and 0.1 mg/kg/h maintenance dexmedetomidine IV during induction and throughout surgery,
3130,Randomized Clinical Trial,Lu 2017,[Lu 2017](evidence_tables.html#3130),[Lu 2017](evidence_tables.html#3130),Lu 2017-1,1,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,76,kq6_proph_meds,,,,proph_med_induct,proph_med_intra,,,dexmedetomidine,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,"15 min before induction, parecoxib sodium plus dexmedetomidine (loading 0.5 mcg/kg and 0.5 mcg/kg/h maintenance) through surgery, followed by sufentanil (0.04 mcg/kg/h) postsurgery",
3130,Randomized Clinical Trial,Lu 2017,[Lu 2017](evidence_tables.html#3130),[Lu 2017](evidence_tables.html#3130),Lu 2017-2,2,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,75,kq6_proph_meds,,,,proph_med_induct,proph_med_intra,proph_med_postop,,dexmedetomidine,0.5,0.5,,,0.06,,,,,,,,,,,,,,,,,,,,,,"15 min before induction, parecoxib sodium plus dexmedetomidine (loading 0.5 mcg/kg and 0.5 mcg/kg/h maintenance) through surgery, followed by sufentanil (0.04 mcg/kg/h) plus dexmedetomidine (0.06 mcg/kg/h) postsurgery",
3218,Randomized Clinical Trial,Alas 2020,[Alas 2020](evidence_tables.html#3218),[Alas 2020](evidence_tables.html#3218),Alas 2020-1,1,,,,,Dexmedetomidine,29,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3218,Randomized Clinical Trial,Alas 2020,[Alas 2020](evidence_tables.html#3218),[Alas 2020](evidence_tables.html#3218),Alas 2020-2,2,,,,,Dexmedetomidine,29,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3250,Randomized Clinical Trial,Royse 2017,[Royse 2017](evidence_tables.html#3250),[Royse 2017](evidence_tables.html#3250) ([Whitlock 2015](evidence_tables.html#10515)),Royse 2017-1,1,,,,,Dexmedetomidine,246,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3250,Randomized Clinical Trial,Royse 2017,[Royse 2017](evidence_tables.html#3250),[Royse 2017](evidence_tables.html#3250) ([Whitlock 2015](evidence_tables.html#10515)),Royse 2017-2,2,,,,,Dexmedetomidine,236,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391,Randomized Clinical Trial,Shi 2020,[Shi 2020](evidence_tables.html#3391),[Shi 2020](evidence_tables.html#3391),Shi 2020-1,1,Placebo,Control,Placebo,Plac,Dexmedetomidine,53,kq6_no_proph_meds,kq6_placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5 ug/kg/h saline intravenously
3391,Randomized Clinical Trial,Shi 2020,[Shi 2020](evidence_tables.html#3391),[Shi 2020](evidence_tables.html#3391),Shi 2020-2,2,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,53,kq6_proph_meds,,,,proph_med_induct,proph_med_intra,,,dexmedetomidine,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.5 ug/kg/h dexmedetomidine intravenously from induction to chest closure,
3716,Randomized Clinical Trial,Zhao 2020,[Zhao 2020](evidence_tables.html#3716),[Zhao 2020](evidence_tables.html#3716),Zhao 2020-1,1,None,Control,None,None,Dexmedetomidine,101,kq6_no_proph_meds,kq6_none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dex 0 mcg group (0 mcg dex + 150 mcg sufentanil + 300 ml of 0.9% saline in the PCA pump. Intraoperative
3716,Randomized Clinical Trial,Zhao 2020,[Zhao 2020](evidence_tables.html#3716),[Zhao 2020](evidence_tables.html#3716),Zhao 2020-2,2,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,108,kq6_proph_meds,,,,proph_med_induct,proph_med_intra,,,dexmedetomidine,1,100,,,,,,,,,,,,,,,,,,,,,,,,,Dex 100 mcg group (100 mcg dex + 150 mcg sufentanil + 300 ml of 0.9% saline in the PCA pump; loading dose given over 10 min,
3716,Randomized Clinical Trial,Zhao 2020,[Zhao 2020](evidence_tables.html#3716),[Zhao 2020](evidence_tables.html#3716),Zhao 2020-3,3,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,105,kq6_proph_meds,,,,proph_med_induct,proph_med_intra,,,dexmedetomidine,1,200,,,,,,,,,,,,,,,,,,,,,,,,,Dex 200 mcg group (200 mcg dex + 150 mcg sufentanil + 300 ml of 0.9% saline in the PCA pump; loading dose given over 10 min,
3716,Randomized Clinical Trial,Zhao 2020,[Zhao 2020](evidence_tables.html#3716),[Zhao 2020](evidence_tables.html#3716),Zhao 2020-4,4,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,102,kq6_proph_meds,,,,proph_med_induct,proph_med_intra,,,dexmedetomidine,1,400,,,,,,,,,,,,,,,,,,,,,,,,,Dex 400 mcg group (400 mcg dex + 150 mcg sufentanil + 300 ml of 0.9% saline in the PCA pump; loading dose given over 10 min,
3727,Retrospective Cohort,Mangusan 2015a,[Mangusan 2015a](evidence_tables.html#3727),[Mangusan 2015a](evidence_tables.html#3727),Mangusan 2015a-1,1,,,,,Dexmedetomidine,424,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3727,Retrospective Cohort,Mangusan 2015a,[Mangusan 2015a](evidence_tables.html#3727),[Mangusan 2015a](evidence_tables.html#3727),Mangusan 2015a-2,2,,,,,Dexmedetomidine,232,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3788,Randomized Clinical Trial,Remerand 2009,[Remerand 2009](evidence_tables.html#3788),[Remerand 2009](evidence_tables.html#3788),Remerand 2009-1,1,Placebo,Control,Placebo,Plac,Ketamine,75,kq6_no_proph_meds,kq6_placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3788,Randomized Clinical Trial,Remerand 2009,[Remerand 2009](evidence_tables.html#3788),[Remerand 2009](evidence_tables.html#3788),Remerand 2009-2,2,Ketamine,Ketamine,Ketamine,Ket,Ketamine,79,kq6_proph_meds,,,,,proph_med_intra,proph_med_postop,,,,,,,,ketamine,0.5,,2,,,,,,,,,,,,,,,,,,1 bolus during surgery followed by 24-h infusion using the second study syringe at 2 mL/h (equivalent to 2 ug/kg/min).,
3841,Randomized Clinical Trial,Oh 2021,[Oh 2021](evidence_tables.html#3841),[Oh 2021](evidence_tables.html#3841),Oh 2021-1,1,Placebo,Control,Placebo,Plac,Ramelteon,39,kq6_no_proph_meds,kq6_placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capsule shells filled with microcrystalline cellulose Riboflavin 100mg (adherence marker); 1 pre-operative and 2 nightly postoperative doses
3841,Randomized Clinical Trial,Oh 2021,[Oh 2021](evidence_tables.html#3841),[Oh 2021](evidence_tables.html#3841),Oh 2021-2,2,Ramelteon,Ramelteon,Ramelteon,Ram,Ramelteon,41,kq6_proph_meds,,,proph_med_pre,,,proph_med_postop,,,,,,,,,,,,,,,ramelteon,8,3,,,,,,,,,,,,Ramelteon 8 mg oral dose with Riboflavin 100 (adherence marker); 1 pre-operative and 2 nightly postoperative doses,
4033,Randomized Clinical Trial,Qiao 2015,[Qiao 2015](evidence_tables.html#4033),[Qiao 2015](evidence_tables.html#4033),Qiao 2015-1,1,,,,,Ramelteon,30,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4033,Randomized Clinical Trial,Qiao 2015,[Qiao 2015](evidence_tables.html#4033),[Qiao 2015](evidence_tables.html#4033),Qiao 2015-2,2,,,,,Ramelteon,30,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4150,Randomized Clinical Trial,Jaiswal 2019,[Jaiswal 2019](evidence_tables.html#4150),[Jaiswal 2019](evidence_tables.html#4150),Jaiswal 2019-1,1,Placebo,Control,Placebo,Plac,Ramelteon,58,kq6_no_proph_meds,kq6_placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Placebo, administered 1 day prior to surgery, maximum 7 days"
4150,Randomized Clinical Trial,Jaiswal 2019,[Jaiswal 2019](evidence_tables.html#4150),[Jaiswal 2019](evidence_tables.html#4150),Jaiswal 2019-2,2,Ramelteon,Ramelteon,Ramelteon,Ram,Ramelteon,59,kq6_proph_meds,,,proph_med_pre,,,proph_med_postop,,,,,,,,,,,,,,,ramelteon,8,6,,,,,,,,,,,,"ramelteon 8 mg, administered 1 day prior to surgery, maximum 7 days",
4782,Randomized Clinical Trial,Liang 2017,[Liang 2017](evidence_tables.html#4782),[Liang 2017](evidence_tables.html#4782),Liang 2017-1,1,,,,,Ramelteon,66,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4782,Randomized Clinical Trial,Liang 2017,[Liang 2017](evidence_tables.html#4782),[Liang 2017](evidence_tables.html#4782),Liang 2017-2,2,,,,,Ramelteon,66,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4782,Randomized Clinical Trial,Liang 2017,[Liang 2017](evidence_tables.html#4782),[Liang 2017](evidence_tables.html#4782),Liang 2017-3,3,,,,,Ramelteon,66,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4798,Randomized Clinical Trial,Ding 2015,[Ding 2015](evidence_tables.html#4798),[Ding 2015](evidence_tables.html#4798),Ding 2015-1,1,Placebo,Control,Placebo,Plac,Dexmedetomidine,20,kq6_no_proph_meds,kq6_placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal saline in 50 mL injector
4798,Randomized Clinical Trial,Ding 2015,[Ding 2015](evidence_tables.html#4798),[Ding 2015](evidence_tables.html#4798),Ding 2015-2,2,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,20,kq6_proph_meds,,,,proph_med_induct,,,,dexmedetomidine,2,,,,,,,,,,,,,,,,,,,,,,,,,,2 mg diluted in 50 ml solution,
4824,Randomized Clinical Trial,Hakim 2012,[Hakim 2012](evidence_tables.html#4824),[Hakim 2012](evidence_tables.html#4824),Hakim 2012-1,1,,,,,Dexmedetomidine,50,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4824,Randomized Clinical Trial,Hakim 2012,[Hakim 2012](evidence_tables.html#4824),[Hakim 2012](evidence_tables.html#4824),Hakim 2012-2,2,,,,,Dexmedetomidine,51,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4888,Retrospective Cohort,Weinstein 2018a,[Weinstein 2018a](evidence_tables.html#4888),[Weinstein 2018a](evidence_tables.html#4888),Weinstein 2018a-1,1,,,,,Dexmedetomidine,2643,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4888,Retrospective Cohort,Weinstein 2018a,[Weinstein 2018a](evidence_tables.html#4888),[Weinstein 2018a](evidence_tables.html#4888),Weinstein 2018a-2,2,,,,,Dexmedetomidine,33223,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4914,Randomized Clinical Trial,Li 2021b,[Li 2021b](evidence_tables.html#4914),[Li 2021b](evidence_tables.html#4914),Li 2021b-1,1,Placebo,Control,Placebo,Plac,Dexmedetomidine,30,kq6_no_proph_meds,kq6_placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal saline infusion
4914,Randomized Clinical Trial,Li 2021b,[Li 2021b](evidence_tables.html#4914),[Li 2021b](evidence_tables.html#4914),Li 2021b-2,2,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,30,kq6_proph_meds,,,proph_med_pre,,proph_med_intra,,,dexmedetomidine,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,small-dose,
4914,Randomized Clinical Trial,Li 2021b,[Li 2021b](evidence_tables.html#4914),[Li 2021b](evidence_tables.html#4914),Li 2021b-3,3,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,30,kq6_proph_meds,,,proph_med_pre,,proph_med_intra,,,dexmedetomidine,0.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,medium-dose,
4914,Randomized Clinical Trial,Li 2021b,[Li 2021b](evidence_tables.html#4914),[Li 2021b](evidence_tables.html#4914),Li 2021b-4,4,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,30,kq6_proph_meds,,,proph_med_pre,,proph_med_intra,,,dexmedetomidine,0.3,0.8,,,,,,,,,,,,,,,,,,,,,,,,,high-dose,
5024,Randomized Clinical Trial,Li 2015,[Li 2015](evidence_tables.html#5024),[Li 2015](evidence_tables.html#5024),Li 2015-1,1,Placebo,Control,Placebo,Plac,Dexmedetomidine,50,kq6_no_proph_meds,kq6_placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal saline infusion
5024,Randomized Clinical Trial,Li 2015,[Li 2015](evidence_tables.html#5024),[Li 2015](evidence_tables.html#5024),Li 2015-2,2,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,50,kq6_proph_meds,,,,proph_med_induct,proph_med_intra,,,dexmedetomidine,1,0.4,,,,,,,,,,,,,,,,,,,,,,,,,loading dose 1 mg/kg over 10 min,
5052,Nonrandomized Trial,Zhang 2019b,[Zhang 2019b](evidence_tables.html#5052),[Zhang 2019b](evidence_tables.html#5052),Zhang 2019b-1,1,Placebo,Control,Placebo,Plac,Dexmedetomidine,60,kq6_no_proph_meds,kq6_placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saline infusion intraoperatively
5052,Nonrandomized Trial,Zhang 2019b,[Zhang 2019b](evidence_tables.html#5052),[Zhang 2019b](evidence_tables.html#5052),Zhang 2019b-2,2,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,80,kq6_proph_meds,,,,,proph_med_intra,,,dexmedetomidine,1,,0.2,0.7,,,,,,,,,,,,,,,,,,,,,,,dexmedetomidine initiated after intubation and maintained up to 30 minutes before end of surgery,
5066,Retrospective Cohort,Park 2021,[Park 2021](evidence_tables.html#5066),[Park 2021](evidence_tables.html#5066),Park 2021-1,1,Other,Control,Propofol,Prop,Dexmedetomidine,357,kq6_no_proph_meds,kq6_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Propofol,,
5066,Retrospective Cohort,Park 2021,[Park 2021](evidence_tables.html#5066),[Park 2021](evidence_tables.html#5066),Park 2021-2,2,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,357,kq6_proph_meds,,,,proph_med_induct,proph_med_intra,,,dexmedetomidine,1,,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,
5147,Randomized Clinical Trial,Zhang 2020a,[Zhang 2020a](evidence_tables.html#5147),[Zhang 2020a](evidence_tables.html#5147),Zhang 2020a-1,1,Placebo,Control,Placebo,Plac,Dexmedetomidine,120,kq6_no_proph_meds,kq6_placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"If spinal anesthesia failed then CSE was administered, if CSE failed then general anesthesia was administered.",,,,,,Normal saline infused 30 min before anesthesia and discontinued 30 min before surgery
5147,Randomized Clinical Trial,Zhang 2020a,[Zhang 2020a](evidence_tables.html#5147),[Zhang 2020a](evidence_tables.html#5147),Zhang 2020a-2,2,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,120,kq6_proph_meds,,,proph_med_pre,,proph_med_intra,,,dexmedetomidine,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,drug infused 30 min before anesthesia and discontinued 30 min before end of surgery,
5163,Retrospective Cohort,Memtsoudis 2019a,[Memtsoudis 2019a](evidence_tables.html#5163),[Memtsoudis 2019a](evidence_tables.html#5163),Memtsoudis 2019a-1,1,,,,,Dexmedetomidine,107736,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5163,Retrospective Cohort,Memtsoudis 2019a,[Memtsoudis 2019a](evidence_tables.html#5163),[Memtsoudis 2019a](evidence_tables.html#5163),Memtsoudis 2019a-2,2,,,,,Dexmedetomidine,373219,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5163,Retrospective Cohort,Memtsoudis 2019a,[Memtsoudis 2019a](evidence_tables.html#5163),[Memtsoudis 2019a](evidence_tables.html#5163),Memtsoudis 2019a-3,3,,,,,Dexmedetomidine,15329,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5163,Retrospective Cohort,Memtsoudis 2019a,[Memtsoudis 2019a](evidence_tables.html#5163),[Memtsoudis 2019a](evidence_tables.html#5163),Memtsoudis 2019a-4,4,,,,,Dexmedetomidine,67942,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5164,Randomized Clinical Trial,Sultan 2010,[Sultan 2010](evidence_tables.html#5164),[Sultan 2010](evidence_tables.html#5164),Sultan 2010-1,1,None,Control,None,None,Melatonin,49,kq6_no_proph_meds,kq6_none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,
